# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[ -14.35717091 -100.10407362   -1.59479143];[1.0289054664294353, -0.5798413892587362, 1.1371774149682965, -1.5345579890686607];[-14.65, -107.28, -2.5]
[ -14.35800944 -100.09674942   -7.97519534];[0.8076442577500561, -0.5816564820162363, 1.345567705084301, -1.5366907858151562];[-14.66, -107.31, -9.08]
[ -14.35914701 -100.08900475  -14.35914705];[0.5842087792373188, -0.5842087851918558, 1.5390998108038143, -1.5390998363947648];[-14.62, -107.29, -15.79]
[ -14.3622615 -100.0602522  -20.7497021];[0.3626931634906403, -0.5850899990908006, 1.7162496145824468, -1.538392178438476];[-14.6, -107.13, -22.23]
[ -20.74806772 -100.07138146  -11.1686603 ];[0.6962987452070524, -0.3611762120984545, 1.4434669295992524, -1.715007633674191];[-21.09, -107.21, -12.88]
[ -20.74672962 -100.0784963    -4.78558128];[0.9186318069795969, -0.358539636166909, 1.242195993433365, -1.712309083732439];[-21.14, -107.21, -6.32]
[ -20.74622587 -100.08196245    1.59510181];[1.1365224861975383, -0.35785597728600294, 1.0284370013304664, -1.7114839199861178];[-21.18, -107.22, 0.34]
[ -20.74734468 -100.07499178    7.97668553];[1.3446945431141732, -0.35972587554343444, 0.8077052030793699, -1.7136155042451038];[-21.29, -107.18, 6.98]
[ -20.74889638 -100.06758667   14.36166   ];[1.5381113479600532, -0.36257674464756035, 0.5849431670625652, -1.7159631077111672];[-21.39, -106.99, 13.82]
[ -30.32873118 -106.41838264    4.78775985];[1.0247162733765236, 0.0683657931247717, 0.732434931519787, -1.7316242371909825];[-30.02, -112.97, 4.57]
[ -30.32801656 -106.42124691   -1.59586432];[0.8313335880491065, 0.06862810531641808, 0.9288910374713653, -1.7318600042011574];[-30.2, -112.98, -2.56]
[ -30.32964335 -106.41555536   -7.98000095];[0.6325008274032892, 0.06793728180329048, 1.1183308407271673, -1.730939422417864];[-30.28, -112.96, -9.58]
[ -23.94250529 -106.42146624  -17.55665613];[0.33875635769283946, -0.13763947684489503, 1.4008556960246117, -1.5734182205468334];[-24.49, -112.65, -19.22]
