# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 31.94504709 -90.49667715   7.97332306];[1.6813742560058, -2.342710599917993, 1.0649731713077133, -0.13418940398770476]
[ 3.19455219e+01 -9.04904620e+01  5.27144115e-05];[1.383442923335222, -2.335839377301663, 1.3838459552840647, -0.12999457797118852]
[ 31.94504717 -90.49669262  -7.9732199 ];[1.0645636821365032, -2.342755747053389, 1.6817521720508088, -0.1342312036500603]
[ 31.94555684 -90.49734888 -15.95509712];[0.7459496450141715, -2.3558078433550067, 1.9419655892624128, -0.14321941200854144]
[ 31.94760305 -90.48697135 -23.94876827];[0.4394260439626725, -2.358814749606362, 2.1598001538979834, -0.14939124938357784]
[ 31.95075622 -90.47099736 -31.9507238 ];[0.14662313038905558, -2.3391691464814426, 2.339283862865947, -0.14684476709619904]
[ 31.95607966 -90.44150345 -39.95719543];[-0.13625074080525312, -2.2917118495363438, 2.4881142090783195, -0.13286071642663255]
[ 39.96172464 -90.41790802 -39.96176812];[-0.146625725590601, -2.438347057312435, 2.4381554199465585, 0.14687120229803277]
[ 39.95720149 -90.44150386 -31.9560989 ];[0.1329836889920854, -2.48809687761266, 2.291650085789081, 0.1362462010565399]
[ 39.95397375 -90.45505545 -23.95436097];[0.4217800507423155, -2.5101582558018722, 2.1138637810892895, 0.13599489429144393]
[ 39.9514583  -90.46332753 -15.960172  ];[0.7233308742187391, -2.5098560669687795, 1.8979429634360554, 0.14326485114666068]
[ 39.95029451 -90.46182799  -7.97640971];[1.0359369487637546, -2.4992699431239593, 1.640800704962473, 0.15246381121941607]
[ 3.99504339e+01 -9.04556846e+01 -8.41106934e-05];[1.3485570037939125, -2.4934454568643645, 1.347851451167933, 0.15662539215505428]
[ 39.950302   -90.46184352   7.97624498];[1.6414900004233217, -2.499342158683666, 1.0352443122091868, 0.15240227314764576]
[ 39.95147426 -90.46332998  15.96003029];[1.8985659039499396, -2.509960538529701, 0.7226848951029459, 0.14314121454747036]
[ 39.95399529 -90.45504454  23.95425686];[2.114358008608933, -2.5102245055253496, 0.42122267448639394, 0.13582140541106413]
[ 39.95722699 -90.44149072  31.95602922];[2.2919855989363014, -2.4880598460574, 0.13255062111688773, 0.13605116308697401]
[ 39.9617673  -90.41790678  39.96172563];[2.4383448854531804, -2.4381548981324697, -0.1468750283375796, 0.1466225410102363]
[ 39.95058042 -98.3954243   39.95058086];[2.122062172006495, -2.1220616715542087, -0.27184825637053844, 0.27184699013146446]
[ 39.94681006 -98.40080747  31.9541657 ];[1.967516652642132, -2.172391944172285, -0.007139156329386512, 0.2605612532568349]
[ 39.94332993 -98.40574874  23.95898731];[1.7875089473954773, -2.199524390733623, 0.260036902101156, 0.2583812292551206]
[ 39.93931138 -98.41542881  15.96737534];[1.5783707096133666, -2.208691459762444, 0.5320621095987069, 0.26225681041828597]
[ 39.93603194 -98.42352488   7.98147218];[1.340711026788785, -2.208338785979773, 0.8076173053133777, 0.2676945392856638]
[ 3.99340709e+01 -9.84309462e+01  1.86624558e-05];[1.0802586584748142, -2.2068147845769923, 1.0804313901364977, 0.27020894272527385]
[ 39.93603399 -98.42353181  -7.98143198];[0.8074556328141005, -2.2083299313249474, 1.340883164214445, 0.26769421620414435]
[ 39.93931464 -98.41544824 -15.96733671];[0.5319193492641903, -2.2086676319450635, 1.5785292241785982, 0.2622545678919214]
[ 39.94333484 -98.40577971 -23.95895167];[0.2599233203821555, -2.199473468131625, 1.7876390868125167, 0.25837777528436784]
[ 39.94681779 -98.40084995 -31.95412969];[-0.007213422383015228, -2.1723010154810427, 1.9676088711061575, 0.26056070077670834]
[ 39.95059463 -98.3954537  -39.95056586];[-0.27185518339614667, -2.1219834113537703, 2.1220852255129685, 0.27184597891618933]
[ 31.9541655  -98.40080777 -39.94681019];[-0.2605617370376746, -1.9675161289000063, 2.1723916956261125, 0.0071384394261871376]
[ 31.94854132 -98.42272964 -31.94855524];[0.0070408729459993935, -2.0140279972878643, 2.0139701516922144, -0.007023648912112768]
[ 31.94545494 -98.42798017 -23.95390399];[0.2780156703763346, -2.037927477357703, 1.8315061333267884, -0.011379707004199768]
[ 31.94202091 -98.43867822 -15.96319647];[0.5546399394040884, -2.0438928491182717, 1.6198225592591882, -0.008682048442826662]
[ 31.9393024  -98.44759541  -7.97901569];[0.8354937491386042, -2.040975616183252, 1.378745468226338, -0.003660098469951467]
[ 3.19375982e+01 -9.84556909e+01 -1.03368136e-05];[1.1137124524568072, -2.038417671603375, 1.1136257463710364, -0.001194246339400351]
[ 31.93930311 -98.44760354   7.97899442];[1.3788307072847263, -2.0409694022122093, 0.8354111706460818, -0.0036582666438818856]
[ 31.94202211 -98.43869561  15.96317459];[1.6198984563982484, -2.0438752304657797, 0.5545671639441541, -0.00868076769217982]
[ 31.94545762 -98.42800625  23.95388259];[1.831566649416996, -2.0378867191946575, 0.27795986936255174, -0.01137998849027716]
[ 31.94855236 -98.42272753  31.94853613];[2.014016293540152, -2.0139541064588573, 0.007010257383038329, -0.007024476439007776]
[ 31.95415967 -98.40080933  39.94680346];[2.1723665285793112, -1.9675008454146738, -0.2605586026743624, 0.0071774815908368095]
[ 23.9590854  -98.40477805  39.94346809];[2.199563030362017, -1.7875478095347037, -0.25837243582506475, -0.2600534038381036]
[ 23.9539806  -98.42715751  31.94556857];[2.037931764080786, -1.8315975579967108, 0.011393228601143737, -0.27800052173504725]
[ 23.94932018 -98.4511151   23.94932625];[1.8527149804335472, -1.8527398228400314, 0.28464856354198376, -0.28463878442899027]
[ 23.946499   -98.46268841  15.95959992];[1.6396150984070137, -1.8570466629281364, 0.5641826002250957, -0.28329363900035404]
[ 23.94435666 -98.47235705   7.97695545];[1.3969350936766902, -1.8529089234019287, 0.8482275788232005, -0.2787468829305344]
[ 2.39429408e+01 -9.84811016e+01  3.93878251e-06];[1.129443131213239, -1.8498631437931103, 1.1294807843335146, -0.2763372579181762]
[ 23.94435697 -98.47236634  -7.97694581];[0.8481919837344307, -1.852904919418875, 1.3969711017699238, -0.2787438163684059]
[ 23.94649952 -98.46270422 -15.95958843];[0.5641528182187973, -1.8570351135193723, 1.6396447395151017, -0.2832898735562595]
[ 23.94932467 -98.4511122  -23.94931684];[0.2846300479339997, -1.852712281688025, 1.8527389389417162, -0.2846360727382235]
[ 23.95399126 -98.42713495 -31.94556102];[0.011391223846871093, -1.831542756266814, 2.0379544763660435, -0.2779985443618135]
[ 23.9590772  -98.40478209 -39.94346387];[-0.25835666398665613, -1.7875649630867563, 2.199550714395565, -0.2599930948756336]
[ 15.9680415  -98.40692177 -39.94057598];[-0.262176856037492, -1.578703637998069, 2.2090237361103386, -0.5322327557964734]
[ 15.96393947 -98.42966496 -31.94323038];[0.00878347102527581, -1.6202400890222863, 2.0442421159428195, -0.5547843222909304]
[ 15.96039707 -98.45348907 -23.947572  ];[0.2834297198371851, -1.6400057865836744, 1.857410885207401, -0.5643489017162308]
[ 15.95619736 -98.48974137 -15.95619998];[0.5640207462185517, -1.6427441426508624, 1.6427382585864214, -0.5640175688588256]
[ 15.95467289 -98.50002411  -7.97507552];[0.8494524890153947, -1.6384293288412493, 1.399814910139675, -0.5599382414883922]
[ 1.59536156e+01 -9.85093817e+01 -4.52259336e-07];[1.1317780034668619, -1.6353464332190386, 1.1317647314273405, -0.5575575334643508]
[ 15.95467321 -98.50003486   7.97507212];[1.3998269385862663, -1.6384269385771173, 0.8494407966850546, -0.5599347071949681]
[ 15.95619938 -98.48973847  15.95619569];[1.6427465614799304, -1.6427388660723052, 0.5640133865646788, -0.5640133304077488]
[ 15.96040072 -98.45347588  23.94756919];[1.857417750516593, -1.6399904035782102, 0.2834304614092662, -0.5643443415464464]
[ 15.96394576 -98.42965317  31.94322667];[2.044252949824417, -1.620203400937442, 0.00879679582476968, -0.5547783835942016]
[ 15.96802899 -98.40692681  39.94057356];[2.209022334989627, -1.578750492406441, -0.26215628879953834, -0.5321540448165006]
