# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 5.06560551e-03 -1.14277126e+02  2.39533622e+01];[0.9480975027635473, -0.42027483362076423, -0.08060891623943996, -0.4279962191101483]
[ 6.59955357e-03 -1.14280036e+02  3.19341677e+01];[1.0854103782921687, -0.3815498614853448, -0.2760651236554955, -0.39173410142838033]
[  -7.98245983 -114.28762814   31.93466812];[1.0789414954705536, -0.2082814485808994, -0.27767641848236724, -0.5533827142349661]
[  -7.98214494 -114.28715463   23.95410066];[0.9416489359274253, -0.24476478574185584, -0.08250001327174983, -0.5924408546518958]
[  -7.98238663 -114.28576521   15.97108162];[0.7925389184150481, -0.270501069439071, 0.10679285667175419, -0.6191494039699339]
[  -7.98322408 -114.28493803    7.98670713];[0.6325734438737448, -0.286328750191417, 0.29017531307379707, -0.6344003002059848]
[-7.98480694e+00 -1.14282995e+02  1.76336863e-03];[0.4631860274663149, -0.2928306607258569, 0.46683489944120293, -0.6388142073267585]
[  -7.98685939 -114.28484106   -7.98321442];[0.28582963819776286, -0.29005872311430225, 0.6353321904283874, -0.6324591446013684]
[  -7.98972394 -114.28112933  -15.96823413];[0.1020446558582517, -0.27787667554377415, 0.7944225460693953, -0.6153226653137136]
[  -7.99322588 -114.26574104  -23.95455581];[-0.08731321862259714, -0.2556963357553287, 0.9430491229431887, -0.5869494942234098]
[  -7.99639563 -114.26325504  -31.93742455];[-0.28257053317108866, -0.2220229028516198, 1.0796562698191197, -0.545920805191566]
[ -15.9850945  -114.26424738  -31.93758454];[-0.2967963581946736, -0.04334713948347599, 1.058976395166589, -0.7007625338127214]
[ -15.97997189 -114.27311559  -23.95380612];[-0.10206714261779144, -0.07489801462120516, 0.9240837485855595, -0.744213687202747]
[ -15.97453599 -114.28770079  -15.96754005];[0.08673552248645544, -0.09554646950625245, 0.7773202494888445, -0.7742985923527935]
[ -15.9708941  -114.28919159   -7.98215312];[0.2699163548870045, -0.10667099829773617, 0.6200430176597419, -0.7922961403095434]
[-1.59693951e+01 -1.14281002e+02  3.50969938e-03];[0.4467075321051227, -0.1089614467769723, 0.453280597606523, -0.7987265900515615]
[ -15.96784295 -114.28481889    7.98943971];[0.6153188111943816, -0.10244764199145233, 0.27794509215100915, -0.7933023911844915]
[ -15.96754808 -114.28795105   15.97434845];[0.7744137447765985, -0.08721480080672826, 0.09562644015895522, -0.7762386457504294]
[ -15.96875174 -114.28697061   23.95794694];[0.9226605659092254, -0.06277115839644987, -0.09281542653792835, -0.7471249155920521]
[ -15.97088529 -114.28400736   31.93903955];[1.0589381016123198, -0.028180038866480475, -0.2874260353007037, -0.7050832341873934]
[ -23.95508522 -114.2757472    23.96432222];[0.8906281315831068, 0.12516315830903033, -0.11235250591034018, -0.8911748373994812]
[ -23.95321772 -114.27685029   15.9795457 ];[0.7442307879153783, 0.1017337644709485, 0.07491001067892653, -0.9228981610610216]
[ -23.95339151 -114.27269134    7.99291397];[0.5868708966014058, 0.08703819884176106, 0.2556776990413018, -0.9418272647805663]
[-2.39517551e+01 -1.14287512e+02  5.27910013e-03];[0.4194434270551808, 0.08080886111300095, 0.4286907697688042, -0.9476998028017662]
[ -23.9531121  -114.29424409   -7.9816697 ];[0.24413370777150886, 0.08265558646556224, 0.5932259326064675, -0.9413271286077928]
[ -23.9576018  -114.29035831  -15.96833455];[0.06225273104245095, 0.09292983136574415, 0.7480883079310655, -0.9224676952551927]
[ -23.96451071 -114.27541109  -23.95508555];[-0.12551110009106853, 0.11240886679934603, 0.8922448970883428, -0.8905298053011752]
[ -31.93769148 -114.29099822  -15.97011444];[0.027628194291445772, 0.28751075714261176, 0.7059489752930924, -1.0585624736194696]
[ -31.93238078 -114.29840229   -7.9817716 ];[0.20755080879862237, 0.27776224888511136, 0.5541315190310254, -1.078406961440701]
[-3.19310108e+01 -1.14294054e+02  6.94473143e-03];[0.3806434861865623, 0.276189363691576, 0.3923680556044335, -1.0848086710495992]
[ -31.93496689 -114.27371945    7.99610096];[0.5457649069204079, 0.28233181718926437, 0.22193558266492608, -1.078219229118738]
