# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-19.94864646 -98.48564735   7.97600641];[1.3998871490651914, -0.41857939347492196, 0.8499458053143921, -1.7492365163443933]
[-19.94794822 -98.49022399   3.98751918];[1.2684870749626485, -0.41686928938246154, 0.9919944957450644, -1.7470657965945326]
[-1.99473978e+01 -9.84947000e+01  7.73280993e-07];[1.1319349857994878, -0.4161916445198627, 1.1319383377562302, -1.746126371772341]
[-19.94794801 -98.49022418  -3.98751861];[0.9919913526239259, -0.41686958467130086, 1.268488894698134, -1.74706551614804]
[-19.94864601 -98.48564833  -7.97600596];[0.849942569709384, -0.418579945721591, 1.3998879294549353, -1.749235636633801]
[-19.94949135 -98.48084194 -11.96603057];[0.707237622314166, -0.4208201279974662, 1.5249231126597127, -1.7517947593058791]
[-15.95619835 -98.48973876 -15.95619811];[0.5640152984746489, -0.5640179095239208, 1.6427429080523706, -1.6427403914330025]
[-15.9553717  -98.49507859 -11.96469023];[0.7065040868885194, -0.562109055727541, 1.5248478067392086, -1.6409693146444067]
[-15.95467314 -98.50002875  -7.97507389];[0.8494474109535032, -0.5599368636008257, 1.399821012424538, -1.638428764009641]
[-15.95409004 -98.5047506   -3.98703795];[0.9916919069040816, -0.5582423834018081, 1.2684001546531578, -1.6362790695015341]
[-1.59536155e+01 -9.85093821e+01 -1.48849930e-07];[1.1317721982179008, -0.5575576360302024, 1.1317707825127825, -1.6353466512652914]
[-15.95408986 -98.50475084   3.98703769];[1.2684008476590964, -0.5582425203766113, 0.9916901403551537, -1.6362790594181638]
[-15.95467277 -98.50002951   7.97507371];[1.3998208984634803, -0.5599371067228622, 0.8494456123244892, -1.6384284661759339]
[-15.95537121 -98.49507979  11.96469018];[1.5248469941160347, -0.5621092853252324, 0.7065025747216995, -1.640968316432148]
