# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 7.97413195e+00 -1.14412039e+02 -1.21543080e-06];[0.7030134797771016, -0.9262572777060024, 0.7030110092763941, -0.47502473395392747]
[   7.97478613 -114.40491791   -7.97478553];[0.4737187682064818, -0.9243448539528409, 0.9243613609824447, -0.47370172336216354]
[   7.97662478 -114.38440301  -15.95309951];[0.23921993737028108, -0.9176447990145185, 1.1348919045231571, -0.46889092882818895]
[   7.97863351 -114.36485951  -23.93467838];[0.0010234890483239306, -0.9032540909335525, 1.3323702565663706, -0.4581105902518573]
[   7.98046615 -114.3512268   -31.91683897];[-0.24083050435789088, -0.8778772599030784, 1.5167097215189584, -0.4384740768928086]
[ 1.78414616e-06 -1.14351158e+02 -3.19162439e+01];[-0.24022696622613182, -0.6623410570999053, 1.5201244810476182, -0.6623412211357148]
[-1.48385391e-09 -1.14364735e+02 -2.39341960e+01];[0.001844809477043144, -0.6848723403573084, 1.33521037582158, -0.6848722927234367]
[ 6.04482193e-10 -1.14384174e+02 -1.59527563e+01];[0.2403362481573712, -0.6974580602029888, 1.137322300162918, -0.6974580697942192]
[ 5.94154692e-10 -1.14404687e+02 -7.97459639e+00];[0.4751621494084467, -0.7031983859923198, 0.9264582578470699, -0.703198395524154]
[ 4.69657836e-10 -1.14425346e+02  1.47165440e-06];[0.7044693750662905, -0.7044700135941232, 0.7044717471485222, -0.7044700225508123]
[ 4.06856154e-10 -1.14404683e+02  7.97459743e+00];[0.9264718397752151, -0.7031812011673149, 0.47517934403244383, -0.7031812100631272]
[ 3.59881135e-10 -1.14384161e+02  1.59527551e+01];[1.137348397821494, -0.6974295817550347, 0.24036466578265747, -0.6974295906332361]
[-1.35695538e-09 -1.14364717e+02  2.39341944e+01];[1.3352422645950506, -0.6848374635986405, 0.001882118030580679, -0.6848374184144751]
[ 6.59376403e-10 -1.14351149e+02  3.19162434e+01];[1.5201414352898885, -0.6623196524849942, -0.24020129440996252, -0.6623196650126018]
[  -7.98046096 -114.35123956   31.91683949];[1.5166849636204764, -0.43849873446058807, -0.24086248607085148, -0.877904339003164]
[  -7.97862938 -114.36487798   23.93468057];[1.3323396438559723, -0.4581434954746576, 0.0009863328300008661, -0.9032921981246436]
[  -7.97662149 -114.38441624   15.9531011 ];[1.1348671047484347, -0.4689172870015066, 0.2391920910097211, -0.9176755478217016]
[  -7.97478473 -114.40491686    7.97478529];[0.9243486759365026, -0.4737173371428509, 0.47370223094737507, -0.9243632507019596]
[-7.97413195e+00 -1.14412039e+02 -1.21286416e-06];[0.7030134491525133, -0.4750247729343447, 0.7030110211015566, -0.9262572475114124]
[  -7.97478614 -114.40491786   -7.97478554];[0.4737187666496259, -0.4737017627920624, 0.9243613742509802, -0.924344873829169]
[  -7.97662477 -114.38440301  -15.95309951];[0.23921993220642773, -0.4688909137365884, 1.1348919134159503, -0.9176448196342655]
[  -7.97863351 -114.36485953  -23.93467837];[0.0010234797728265604, -0.4581105751672683, 1.3323702609681285, -0.903254111407513]
[  -7.98046614 -114.35122683  -31.91683897];[-0.24083050478993664, -0.43847406589505167, 1.516709719584807, -0.8778772284043774]
[ -15.96154869 -114.35123974  -31.91854752];[-0.2434497858628133, -0.2090745855147298, 1.5054719119385434, -1.0821577794820039]
[ -15.95803254 -114.36505049  -23.9360852 ];[-0.0023291423727720417, -0.22596421060558167, 1.3227484485141912, -1.1103414588839975]
[ -15.95410984 -114.38484403  -15.95411393];[0.23496832834737685, -0.2349922406172621, 1.1265108639037091, -1.1265361436746044]
[ -15.95220894 -114.39164621   -7.97618019];[0.46875126330744843, -0.2390987260521588, 0.9174493798693527, -1.1346589762386436]
[-1.59509806e+01 -1.14398481e+02  5.38933417e-07];[0.6970921284779525, -0.24012798882856395, 0.6970946048097364, -1.136883950711741]
[ -15.9522098  -114.39165716    7.97617862];[0.917459855465357, -0.23908438211439206, 0.468766138977211, -1.1346400090258553]
[ -15.9541137  -114.3848454    15.95410914];[1.1265317943209563, -0.23496717981714194, 0.23499420433398807, -1.1265033698841402]
[ -15.95804014 -114.36502995   23.93608128];[1.3227753746215967, -0.22593177505324225, -0.0022926052780949807, -1.1102994826693815]
[ -15.96155864 -114.35122259   31.91854566];[1.505503020436052, -0.2090442296667728, -0.2434111446496512, -1.0821250364104602]
[ -23.93827728 -114.36464595   23.93831468];[1.3038035443900624, 0.009937329966865721, -0.010104580737743049, -1.3039591837293787]
[ -23.93491107 -114.37165703   15.95727188];[1.110102621935898, 0.002381185594913321, 0.22582887075668626, -1.3225505899963577]
[ -23.93226506 -114.3782159     7.97784511];[0.9028869921278571, -0.0008535800054475795, 0.45784704536666515, -1.331909091181652]
[-2.39305462e+01 -1.14384748e+02  5.79145142e-07];[0.6843605033012997, -0.001631137684852152, 0.68435839036987, -1.3345469098302323]
[ -23.93226519 -114.37822603   -7.97784158];[0.45785963217575676, -0.0008402247624861858, 0.9028949975899311, -1.331890375266707]
[ -23.93491166 -114.37167575  -15.95726293];[0.22585186755143183, 0.0024059621756448712, 1.1101183542542152, -1.3225162978753007]
[ -23.93830032 -114.36463924  -23.93829146];[-0.010002348336468597, 0.010038952381843935, 1.3038933522875422, -1.303857962954209]
