# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[-11.17340208 -93.62172442  39.94883029];[2.383776653570882, -0.8228923489975906, -0.19642657904680286, -1.6214482356414641];[-12.73, -98.86, 38.23]
[ -4.78700285 -93.6300062   36.74760124];[2.3160444183928806, -1.0760970057333732, -0.08993618363024343, -1.4264431186216193];[-5.85, -99.01, 35.96]
[ -4.7857477  -93.6541485   30.34639252];[2.181242327221249, -1.0961826364896767, 0.13551244727312747, -1.4509642177923585];[-5.32, -99.64, 30.88]
[ -4.78468024 -93.67914037  23.94709407];[2.030078888395604, -1.1049089985150868, 0.3662175471039114, -1.4619116202826805];[-5.24, -100.03, 24.27]
[ -4.78350035 -93.7131292   17.5512376 ];[1.8584746996195787, -1.1042055179651424, 0.6034977792734282, -1.4615164296504122];[-5.11, -100.28, 17.61]
[ -4.78231554 -93.75073237  11.16205809];[1.664010720939984, -1.0980407310506317, 0.8466451759708356, -1.454490545131704];[-5.03, -100.42, 10.78]
[ -4.78094515 -93.79530758   4.78094509];[1.4466988942429369, -1.0913752124917573, 1.0913750207619062, -1.446698723006609];[-4.94, -100.49, 4.17]
[ -4.78082448 -93.79951838  -1.59349321];[1.212614517321235, -1.0899073005284299, 1.3314277718319658, -1.4449945836859959];[-4.94, -100.57, -2.48]
[ -4.78166543 -93.77191338  -7.9704811 ];[0.9692372281906847, -1.0944541127078498, 1.558045712648439, -1.4503170859601378];[-4.95, -100.65, -9.23]
[ -4.78291894 -93.73129198 -14.35568877];[0.7245115550215118, -1.1015102729032398, 1.7641884790052944, -1.4584828535931376];[-4.98, -100.7, -15.85]
[ -4.78408147 -93.69584668 -20.74846977];[0.48400663789858583, -1.1055129306298543, 1.9470040422097414, -1.4628661200177544];[-4.95, -100.58, -22.49]
[ -4.78520035 -93.66628809 -27.14639573];[0.25008182265960865, -1.1018726861063086, 2.1079616227197318, -1.4580281773446786];[-4.77, -100.29, -28.92]
[ -4.7863477  -93.64204988 -33.54687991];[0.02227820570932537, -1.0876385616401385, 2.25043677592412, -1.4404899922145786];[-4.36, -99.74, -34.92]
[ -4.78771298 -93.61808469 -39.94831804];[-0.20150539710582985, -1.0614709515375746, 2.378569143174708, -1.408730870459985];[-4.36, -99.25, -40.25]
