# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  -9.65092396 -132.27632761   25.46525624];[1.570796326794898, 1.0471975511965983, -4.450516159062609e-06, 0.5131579536994453]
[ -21.10446216 -128.86972272   25.65464497];[1.570796326794898, 1.0471975511965983, 9.08268603890335e-08, -0.01047261129998818]
[ -32.80378428 -123.99245302   25.85393554];[1.570796326794898, 1.0471975511965983, -1.8536093956945257e-09, -0.5340707381349996]
[ -43.2084795  -117.9082871    26.14625978];[1.570796326794898, 1.0471975511965983, 3.78287631774389e-11, -1.0576695269733638]
[ -51.52863077 -111.275142     26.5722737 ];[1.570796326794898, 1.0471975511965983, -7.720155750497266e-13, -1.5812683023014573]
[   5.87330644 -141.54665094   38.0910535 ];[1.570796326794898, 1.0471975511965983, -0.5342844648962073, 1.635124176368292]
[  -0.2750653  -140.32437213   37.91773003];[1.570796326794898, 1.0471975511965983, -0.5233807003065036, 1.0351990486420724]
[  -9.97599202 -138.07101984   38.22878285];[1.570796326794898, 1.0471975511965983, -0.5236032261144561, 0.5131579536994455]
[ -21.91740472 -134.41579766   38.48044221];[1.570796326794898, 1.0471975511965983, -0.5235986847714378, -0.010472611299988305]
[ -33.95465559 -128.99086022   38.78618845];[1.570796326794898, 1.0471975511965983, -0.5235987774519066, -0.5340707381349997]
[ -44.33962997 -122.19205932   39.2346268 ];[1.570796326794898, 1.0471975511965983, -0.5235987755604696, -1.057669526973364]
[ -52.35993929 -114.86142219   39.86014931];[1.570796326794898, 1.0471975511965983, -0.5235987755990721, -1.5812683023014575]
[   5.61357189 -144.68563819   51.01758026];[1.570796326794898, 1.0471975511965983, -1.0578832404945062, 1.6351241763682918]
[  -0.24622462 -143.90874129   50.56548562];[1.570796326794898, 1.0471975511965983, -1.046979475904808, 1.0351990486420721]
